Name,Party,Electorate,Parliament,Start_Year,End_Year,scraped_date
Martin Ferguson,Australian Labor Party,Batman,43,2010,2013,2025-03-23
John Forrest,National Party of Australia,Mallee,43,2010,2013,2025-03-23
Peter Garrett,Australian Labor Party,Kingsford Smith,43,2010,2013,2025-03-23
Joanna Gash,Liberal Party of Australia,Gilmore,43,2010,2013,2025-03-23
Steve Gibbons,Australian Labor Party,Bendigo,43,2010,2013,2025-03-23
Julia Gillard,Australian Labor Party,Lalor,43,2010,2013,2025-03-23
Sharon Grierson,Australian Labor Party,Newcastle,43,2010,2013,2025-03-23
Barry Haase,Liberal Party of Australia,Durack,43,2010,2013,2025-03-23
Joe Hockey,Liberal Party of Australia,North Sydney,43,2010,2013,2025-03-23
Harry Jenkins,Australian Labor Party,Scullin,43,2010,2013,2025-03-23
Tony Windsor,Independent,New England,43,2010,2013,2025-03-23
Alby Schultz,Liberal Party of Australia,Hume,43,2010,2013,2025-03-23
Patrick Secker,Liberal Party of Australia,Barker,43,2010,2013,2025-03-23
Sid Sidebottom,Australian Labor Party,Braddon,43,2010,2013,2025-03-23
Peter Slipper,Liberal National Party,Fisher,43,2010,2013,2025-03-23
Stephen Smith,Australian Labor Party,Perth,43,2010,2013,2025-03-23
